City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Grand Forks,US,82.78,few clouds,47.9417,-97.4337,Warrior Inn
1,Svetlaya,RU,63.7,overcast clouds,46.5389,138.3297,
2,Basco,PH,83.77,clear sky,20.4487,121.9702,Nathaniel's Lodge
3,Ribeira Grande,PT,70.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
4,Paris,FR,77.07,clear sky,48.8534,2.3488,Britannique Hotel - Paris Centre
5,Leningradskiy,RU,37.62,overcast clouds,69.3833,178.4167,Gostinitsa
6,Atuona,PF,77.38,broken clouds,-9.8,-139.0333,Villa Enata
7,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
8,Kibala,TD,80.55,few clouds,9.1104,18.3463,Prasant Hotels
9,Butaritari,KI,82.13,light rain,3.0707,172.7902,Isles Sunset Lodge
10,Tari,NG,85.06,light rain,12.4086,4.4914,
11,Lebu,CL,50.7,clear sky,-37.6167,-73.65,Hostal Las Lilas
12,Chuy,UY,69.64,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
13,Kodiak,US,55.89,broken clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
14,Georgetown,MY,83.89,thunderstorm,5.4112,100.3354,Cititel Penang
